ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-10-01,75.67229322286461,63.60535943693407,101.93165622044484,75.67229322286461,75.67229322286461,6.077700406566029,6.077700406566029,6.077700406566029,6.077700406566029,6.077700406566029,6.077700406566029,0.0,0.0,0.0,81.74999362943063
2022-11-01,76.22488195634692,58.39979377006428,97.19299045750398,76.22488195634692,76.22488195634692,1.9789653456025276,1.9789653456025276,1.9789653456025276,1.9789653456025276,1.9789653456025276,1.9789653456025276,0.0,0.0,0.0,78.20384730194945
2022-12-01,76.75964524681365,53.42257933048754,93.76038885824754,76.75964524681365,76.75964524681365,-2.1310432968026998,-2.1310432968026998,-2.1310432968026998,-2.1310432968026998,-2.1310432968026998,-2.1310432968026998,0.0,0.0,0.0,74.62860195001095
2023-01-01,77.31223398029593,58.34934511370472,98.49345446862287,77.31223398029593,77.31223398029593,1.9006793442563823,1.9006793442563823,1.9006793442563823,1.9006793442563823,1.9006793442563823,1.9006793442563823,0.0,0.0,0.0,79.21291332455232
2023-02-01,77.86482271377822,60.60827598549247,98.40953804161911,77.86482271377822,77.86482271377822,1.4021400336833083,1.4021400336833083,1.4021400336833083,1.4021400336833083,1.4021400336833083,1.4021400336833083,0.0,0.0,0.0,79.26696274746153
2023-03-01,78.36393511821383,68.59230310345481,106.94815050845776,78.36393511821383,78.36393511821383,9.330409337962097,9.330409337962097,9.330409337962097,9.330409337962097,9.330409337962097,9.330409337962097,0.0,0.0,0.0,87.69434445617593
2023-04-01,78.91652385169613,69.35090740398381,110.45147424207507,78.91652385169613,78.91652385169613,11.748392741702881,11.748392741702881,11.748392741702881,11.748392741702881,11.748392741702881,11.748392741702881,0.0,0.0,0.0,90.66491659339901
2023-05-01,79.45128714216285,66.68159541132498,105.9232906293469,79.45128714216285,79.45128714216285,7.053025327402876,7.053025327402876,7.053025327402876,7.053025327402876,7.053025327402876,7.053025327402876,0.0,0.0,0.0,86.50431246956573
2023-06-01,80.00387587564515,62.73279171588322,102.32474216765549,80.00387587564515,80.00387587564515,2.9491654479268044,2.9491654479268044,2.9491654479268044,2.9491654479268044,2.9491654479268044,2.9491654479268044,0.0,0.0,0.0,82.95304132357195
2023-07-01,80.53863916611188,65.37057227286041,104.18600434006152,80.53863916611188,80.53863916611188,3.3253070327179652,3.3253070327179652,3.3253070327179652,3.3253070327179652,3.3253070327179652,3.3253070327179652,0.0,0.0,0.0,83.86394619882984
2023-08-01,81.09122789959416,65.3184253739322,104.95020697874425,81.09122789959416,81.09122789959416,3.0102182775690505,3.0102182775690505,3.0102182775690505,3.0102182775690505,3.0102182775690505,3.0102182775690505,0.0,0.0,0.0,84.10144617716321
2023-09-01,81.64381663307645,69.60388223881573,109.21661325413714,81.64381663307645,81.64381663307645,7.606352046653872,7.606352046653872,7.606352046653872,7.606352046653872,7.606352046653872,7.606352046653872,0.0,0.0,0.0,89.25016867973032
2023-10-01,82.17857992354318,71.6365022701809,108.95284337471476,82.17857992354318,82.17857992354318,7.946209727390683,7.946209727390683,7.946209727390683,7.946209727390683,7.946209727390683,7.946209727390683,0.0,0.0,0.0,90.12478965093386
2023-11-01,82.73116865702546,67.5966183133294,106.64777349563887,82.73116865702546,82.73116865702546,3.667975573543404,3.667975573543404,3.667975573543404,3.667975573543404,3.667975573543404,3.667975573543404,0.0,0.0,0.0,86.39914423056887
